dataset,algorithm,seed,kind,n_recs,distinct_scores,score_std,train_test_overlap,candidate_leakage_probe,runtime_s,rerun_P@1,rerun_nDCG@1,indep_P@1,indep_nDCG@1,rerun_P@5,rerun_nDCG@5,indep_P@5,indep_nDCG@5,rerun_P@10,rerun_nDCG@10,indep_P@10,indep_nDCG@10,reported_P@1,reported_nDCG@1,reported_P@5,reported_nDCG@5,reported_P@10,reported_nDCG@10
lastfm,ItemKNN,1,node,10900,1,0.0,0,0,6.9,0.0009174311926605505,0.0009174311926605505,0.0009174311926605505,0.0009174311926605505,0.003669724770642202,0.003007708014460886,0.003669724770642202,0.003007708014460886,0.0034862385321100917,0.0036587580600394914,0.0034862385321100917,0.003658758060039491,0.0009174311926605,0.0009174311926605,0.0036697247706422,0.0030077080144608,0.00348623853211,0.0036587580600394
lastfm,Pop,1,node,10900,24,13.0683825856038,0,0,1.2,0.03486238532110092,0.03486238532110092,0.03486238532110092,0.03486238532110092,0.04513761467889908,0.05290388881415335,0.04513761467889908,0.05290388881415335,0.03880733944954129,0.058992174858391276,0.03880733944954129,0.058992174858391276,0.0348623853211009,0.0348623853211009,0.045137614678899,0.0529038888141533,0.0388073394495412,0.0589921748583912
lastfm,ItemKNN_implicit,1,counterfactual,10900,10865,2.1332758350124705,0,0,5.0,0.0981651376146789,0.0981651376146789,0.0981651376146789,0.0981651376146789,0.08807339449541285,0.10454477984195543,0.08807339449541285,0.10454477984195543,0.07027522935779817,0.1115358790725403,0.07027522935779817,0.11153587907254028
lastfm,ALS,7,node,10900,10900,0.27689977475491284,0,0,1.5,0.12110091743119267,0.12110091743119267,0.12110091743119267,0.12110091743119267,0.09412844036697247,0.11422335480367213,0.09412844036697247,0.11422335480367213,0.07568807339449542,0.11844716425204632,0.07568807339449542,0.11844716425204632,0.1238532110091743,0.1238532110091743,0.0944954128440367,0.1159483630083638,0.0788073394495412,0.1219929407305586
lastfm,ItemKNN,7,node,10900,1,0.0,0,0,6.9,0.003669724770642202,0.003669724770642202,0.003669724770642202,0.003669724770642202,0.005871559633027523,0.005549899265401968,0.005871559633027523,0.005549899265401968,0.004311926605504588,0.005485444395553964,0.004311926605504588,0.005485444395553964,0.0036697247706422,0.0036697247706422,0.0058715596330275,0.0055498992654019,0.0043119266055045,0.0054854443955539
lastfm,Pop,7,node,10900,23,12.347418686285103,0,0,1.2,0.04220183486238532,0.04220183486238532,0.04220183486238532,0.04220183486238532,0.04385321100917432,0.04966204523981296,0.04385321100917432,0.04966204523981296,0.038073394495412846,0.056885590841942876,0.038073394495412846,0.05688559084194287,0.0422018348623853,0.0422018348623853,0.0438532110091743,0.0496620452398129,0.0380733944954128,0.0568855908419428
lastfm,ItemKNN_implicit,7,counterfactual,10900,10866,2.1478415673873417,0,0,4.7,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.11926605504587157,0.08091743119266055,0.10254468029317618,0.08091743119266055,0.10254468029317618,0.0710091743119266,0.11439024333964332,0.0710091743119266,0.11439024333964329
lastfm,ALS,21,node,10900,10900,0.2746481775834416,0,0,1.5,0.13394495412844037,0.13394495412844037,0.13394495412844037,0.13394495412844037,0.09009174311926604,0.11818041611801365,0.09009174311926604,0.11818041611801365,0.07669724770642203,0.1266257696773841,0.07669724770642203,0.12662576967738406,0.1110091743119266,0.1110091743119266,0.0926605504587156,0.1133438066695409,0.0748623853211009,0.1191505433593472
lastfm,ItemKNN,21,node,10900,1,0.0,0,0,6.9,0.0027522935779816515,0.0027522935779816515,0.0027522935779816515,0.0027522935779816515,0.004954128440366972,0.0044410053332898086,0.004954128440366972,0.0044410053332898086,0.003486238532110092,0.00433478820812299,0.003486238532110092,0.00433478820812299,0.0027522935779816,0.0027522935779816,0.0049541284403669,0.0044410053332898,0.00348623853211,0.0043347882081229
lastfm,Pop,21,node,10900,23,13.046578407659219,0,0,1.1,0.044954128440366975,0.044954128440366975,0.044954128440366975,0.044954128440366975,0.041651376146788995,0.051100658963710854,0.041651376146788995,0.051100658963710854,0.03688073394495413,0.05645310606482665,0.03688073394495413,0.05645310606482665,0.0449541284403669,0.0449541284403669,0.0416513761467889,0.0511006589637108,0.0368807339449541,0.0564531060648266
lastfm,ItemKNN_implicit,21,counterfactual,10900,10857,2.133620195650323,0,0,4.7,0.10550458715596331,0.10550458715596331,0.10550458715596331,0.10550458715596331,0.08238532110091744,0.10131497893140591,0.08238532110091744,0.10131497893140591,0.07256880733944954,0.11487580828461105,0.07256880733944954,0.11487580828461104
lastfm,ALS,42,node,10900,10900,0.27488833783136346,0,0,1.5,0.13302752293577982,0.13302752293577982,0.13302752293577982,0.13302752293577982,0.09357798165137615,0.11699163008698396,0.09357798165137615,0.11699163008698396,0.07816513761467889,0.12303624228666739,0.07816513761467889,0.12303624228666737,0.118348623853211,0.118348623853211,0.0977981651376146,0.116992240166229,0.080091743119266,0.1225646249186044
lastfm,ItemKNN,42,node,10900,1,0.0,0,0,6.9,0.003669724770642202,0.003669724770642202,0.003669724770642202,0.003669724770642202,0.0047706422018348625,0.004561084537476133,0.0047706422018348625,0.004561084537476133,0.004678899082568808,0.005459254467436276,0.004678899082568808,0.005459254467436275,0.0036697247706422,0.0036697247706422,0.0047706422018348,0.0045610845374761,0.0046788990825688,0.0054592544674362
